"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%"
40,"Gracjan Bielecki",1,4,2,4,1,0,1,0,0,0,0,0.500,2,0,0,0,0,0,0,0,0,0,1.000,0.750,1.000,0.500,1.250,0.463,1.000,0.500,1,0,0,0,0,1,0,0.000,25.0,25.0,0.0
1,"Edgar Toro",1,4,3,3,2,0,2,0,0,0,1,0.667,1,0,0,0,0,1,0,0,0,0,1.000,0.750,0.750,0.667,1.417,0.504,1.000,0.750,0,0,0,0,0,1,1,1.000,50.0,50.0,25.0
23,"Jakub Wojtczak",1,4,3,3,2,0,2,0,0,0,2,0.667,1,0,0,0,0,0,0,0,0,0,1.250,0.750,0.750,0.667,1.417,0.504,1.000,0.750,0,0,0,0,0,3,2,0.667,100.0,100.0,100.0
21,"Artur Wojtczak",1,4,4,1,2,0,1,0,0,1,7,0.500,0,0,0,0,0,1,0,0,0,0,1.750,0.500,0.500,1.250,1.750,0.538,1.000,1.000,0,0,0,0,0,4,2,0.500,100.0,100.0,100.0
13,"Kacper Kamiński",1,2,2,0,0,0,0,0,0,0,1,0.000,0,0,0,0,0,0,0,0,0,0,0.500,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,2,0,0.000,50.0,50.0,50.0
17,"Mateusz Serafin",1,3,3,1,2,0,1,1,0,0,2,0.667,0,0,0,0,0,0,0,0,0,0,1.000,0.667,0.667,1.000,1.667,0.550,1.000,1.000,0,0,0,0,0,2,1,0.500,66.7,66.7,66.7
16,"Michał Nowicki",1,3,3,0,1,0,0,0,1,0,1,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,1.000,1.333,0.400,1.000,1.000,0,0,0,0,0,1,1,1.000,66.7,66.7,66.7
45,"Kacper Cichowski",1,2,1,0,0,0,0,0,0,0,0,0.000,1,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.000,0,0,0,0,0,0,0,0.000,50.0,50.0,50.0
9,"Radosław Jóźwiak",1,2,2,1,1,0,1,0,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,1.000,1.000,0,0,0,0,0,0,0,0.000,50.0,50.0,0.0
7,"Eryk Kieruńczak",1,1,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
18,"Piotr Malarski",1,0,0,1,0,0,0,0,0,0,0,0.000,0,0,0,0,0,1,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
14,"Kacper Bielecki",1,1,0,1,0,0,0,0,0,0,0,0.000,1,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,0.000,1.000,0.450,0.000,0.000,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0
12,"Anderson Reyes",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,1,1,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,1,0,0.000,0.0,0.0,0.0
"","TOTALS",1,31,24,16,11,0,8,1,1,1,14,0.458,7,0,2,2,0,3,0,0,0,0,0.935,0.581,0.613,0.708,1.289,0.438,0.917,0.710,1,0,0,0,0,15,7,0.467,58.1,58.1,48.4
