"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","BBi","Kc","Ks","SO","HBP","SB","CS","PK","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","BABIP","CT%","CT2%","LOBi","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","TP","QAB1%","QAB2%","QAB3%"
25,"Franciszek Dudek",1,5,3,4,1,0,1,0,0,0,1,0.333,2,0,0,0,0,0,0,0,0,0,0,0,1.000,0.600,0.600,0.333,0.933,0.353,0.333,1.000,0.600,4,0,1,0,0,0,2,1,0.500,19,40.0,40.0,40.0
12,"Cooper McDonnel",1,4,2,3,1,0,0,0,0,1,4,0.500,1,0,0,0,0,1,0,0,0,0,0,0,1.500,0.750,1.000,2.000,2.750,0.838,0.000,1.000,0.500,0,1,0,0,0,0,2,1,0.500,18,75.0,75.0,75.0
13,"Carlos Salas",1,5,3,3,2,0,1,1,0,0,3,0.667,2,0,0,0,0,0,1,0,0,0,0,0,1.200,0.800,0.800,1.000,1.800,0.610,0.667,1.000,0.600,2,0,1,0,0,0,3,2,0.667,19,80.0,80.0,80.0
41,"Szymon Dwojakowski",1,5,2,0,0,0,0,0,0,0,3,0.000,2,0,0,0,0,0,0,0,0,0,1,1,0.600,0.400,0.400,0.000,0.400,0.180,0.000,1.000,0.400,2,0,0,0,0,0,2,0,0.000,15,60.0,60.0,60.0
72,"Dominik Grzecicha",1,5,3,1,1,0,0,0,0,1,4,0.333,0,0,0,0,0,1,0,0,0,0,1,1,0.800,0.400,0.400,1.333,1.733,0.513,0.000,1.000,0.600,3,0,0,0,0,0,2,1,0.500,14,60.0,60.0,60.0
51,"Dawid Korzekwa",1,4,2,0,0,0,0,0,0,0,0,0.000,1,0,1,0,1,1,0,0,0,0,0,0,0.000,0.500,0.500,0.000,0.500,0.225,0.000,0.500,0.250,1,0,0,0,0,0,0,0,0.000,14,25.0,25.0,25.0
18,"Przemyslaw Sobik",1,4,4,1,1,0,1,0,0,0,0,0.250,0,0,0,1,1,0,0,0,0,0,0,0,0.250,0.250,0.250,0.250,0.500,0.175,0.333,0.750,0.750,5,0,0,0,0,0,2,0,0.000,14,25.0,25.0,0.0
5,"Tomas Romo",1,4,3,2,2,0,2,0,0,0,0,0.667,0,0,0,1,1,1,1,0,0,0,0,0,0.500,0.750,0.750,0.667,1.417,0.504,1.000,0.667,0.500,3,0,0,0,0,0,1,0,0.000,8,50.0,50.0,0.0
24,"Adrian Mularczyk",1,3,1,3,0,0,0,0,0,0,0,0.000,1,0,0,0,0,1,2,0,0,0,0,0,1.000,0.667,1.000,0.000,0.667,0.300,0.000,1.000,0.333,0,1,0,0,0,0,0,0,0.000,11,0.0,0.0,0.0
9,"Maksymilian Serwotka",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,2,0,0,0,0,0,1,0,0.000,2,0.0,0.0,0.0
22,"Szymon Garus",1,1,1,1,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,1.000,0,0,0,0,0,0,0,0,0.000,3,100.0,100.0,0.0
"","TOTALS",1,41,25,18,9,0,6,1,0,2,15,0.360,9,0,1,2,3,5,4,0,0,0,2,2,0.756,0.561,0.610,0.640,1.201,0.412,0.318,0.880,0.537,22,2,2,0,0,0,15,5,0.333,137,48.8,48.8,39.0
