"#","Name","G","W","L","SV","ST","CMP","ShO","IP","BF","Ball","Str","PIT","R","RA","ER","ERA","ERA9","FIP","K","Kc","Ks","H","BB","IBB","K/BB","K/GI","BB/GI","H/GI","HB","BK","WP","HR","WHIP","OBP","BAA","BABIP","GO","AO","FPS","FPB","FPS%"
16,"Szymon Krolik",1,0,1,0,1,0,0,1.67,11,20,15,35,6,3.60,6,25.20,32.40,16.300,0,0,0,3,2,0,0.00,0.00,8.40,12.60,1,1,2,1,3.000,0.545,0.429,0.286,1,3,3,8,0.273
33,"Adam Dublasiewicz",1,0,0,0,0,0,0,1.33,9,23,16,39,4,3.00,4,21.00,27.00,15.100,1,1,0,0,3,0,0.33,5.25,15.75,0.00,3,0,1,0,2.250,0.667,0.000,0.000,0,2,5,4,0.556
53,"Patryk Wezgowiec",1,0,0,0,0,0,0,1.67,13,29,19,48,3,1.80,0,0.00,0.00,10.900,1,0,1,1,4,0,0.25,4.20,16.80,4.20,1,0,3,0,3.000,0.462,0.143,0.143,1,3,3,10,0.231
50,"Kacper Blacha",1,0,0,0,0,0,0,1.00,8,3,12,15,5,5.00,5,35.00,45.00,14.100,1,0,1,5,0,0,0.00,7.00,0.00,35.00,0,0,0,1,5.000,0.625,0.625,0.667,1,1,6,2,0.750
"","TOTALS",1,0,1,0,1,0,0,5.67,41,75,62,137,18,3.18,15,18.53,23.82,14.041,3,1,2,9,9,0,0.33,3.71,11.12,11.12,5,1,6,2,3.176,0.561,0.360,0.318,3,9,17,24,0.415
